jobID,Calc,Real,Guess,pNFound,GuessDiff,CalcDiff
679,27,2,1.95,0%,3%,1250%
974,15,2,1.95,0%,3%,650%
5879,1.5,2,1.95,0%,3%,25%
7207,2.5,2,1.95,0%,3%,25%
7586,3.5,2,1.95,0%,3%,75%
14509,4,2,1.95,0%,3%,100%
15011,2,2,1.95,0%,3%,0%
15918,3,2,1.95,0%,3%,50%
20484,8,2,1.95,0%,3%,300%
24661,15,2,1.95,0%,3%,650%
27516,2,2,1.95,0%,3%,0%
28017,2,2,1.95,0%,3%,0%
29262,12,2,1.95,0%,3%,500%
36009,4,2,1.95,0%,3%,100%
38127,5,2,1.95,0%,3%,150%
38828,32,2,1.95,0%,3%,1500%
44229,8,2,1.95,0%,3%,300%
44269,2.5,2,1.95,0%,3%,25%
44723,16.5,2,1.95,0%,3%,725%
45049,10,2,1.95,0%,3%,400%
47743,13,2,1.95,0%,3%,550%
176,2,3,1.95,0%,35%,33%
9048,20,3,1.95,0%,35%,567%
9713,15,3,1.95,0%,35%,400%
15899,3,3,1.95,0%,35%,0%
20943,10,3,1.95,0%,35%,233%
23850,5,3,1.95,0%,35%,67%
27629,3,3,1.95,0%,35%,0%
29879,11,3,1.95,0%,35%,267%
30540,2,3,1.95,0%,35%,33%
30730,10,3,1.95,0%,35%,233%
30877,3,3,1.95,0%,35%,0%
30882,4,3,1.95,0%,35%,33%
31003,4,3,1.95,0%,35%,33%
31011,7,3,1.95,0%,35%,133%
31121,3.5,3,1.95,0%,35%,17%
33396,3,3,1.95,0%,35%,0%
35722,3,3,1.95,0%,35%,0%
36503,3,3,1.95,0%,35%,0%
38175,3,3,1.95,0%,35%,0%
39131,2,3,1.95,0%,35%,33%
41108,10,3,1.95,0%,35%,233%
43538,3,3,1.95,0%,35%,0%
43711,3,3,1.95,0%,35%,0%
44123,2.5,3,1.95,0%,35%,17%
46699,4,3,1.95,0%,35%,33%
186,4,4,1.95,0%,51%,0%
3653,20,4,1.95,0%,51%,400%
15442,11,4,1.95,0%,51%,175%
21377,12,4,1.95,0%,51%,200%
26307,8,4,1.95,0%,51%,100%
26585,6,4,1.95,0%,51%,50%
26705,5,4,1.95,0%,51%,25%
28505,6,4,1.95,0%,51%,50%
28549,7,4,1.95,0%,51%,75%
