Location,Category
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/cjxqgdkb1000v08ys2z2427l3,RØROPPLEGG TOALETT UTE
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/cjxqgdq16002r08um2sloclnp,TOALETT UTE
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/cjxqgdzp1001208ugfzh08knd,UTE
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/cjxqge58l002s08umg0j0dlpj,
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/cjxqhhu6q001308uggmy17n4s,KVITTERING
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/cjxqhhzh8001408ug3ymr1owu,KVITTERING
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/cjxqhj7vv000x08ys5ni81x2j,SERVANT KJØKKEN
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/cjxqhjeyi001608ug7rag8ct7,SERVANT KJØKKEN
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/cjxqhjjzo000y08yscg9bczon,SERVANT VARMTVANNSBEREDER KJØKKEN
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/cjxqhjrbz000z08ys8uyt3nls,KJØKKEN
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/cjxqhjwg5002w08umasxedbox,KJØKKEN
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/cjy7r9yx9000708z8duy35j9r,SERVANT KJØKKEN
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/cjyndsvig000708x8hao00vdm,KVITTERING
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/ck38ijlnd009j07op34ey5b0u,RØROPPLEGG
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/ck396iixv00eg08peh7of8ane,SERVANT KJØKKEN
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/ck3fqss9300no08pe9enxcenz,
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/ck3g6g4up000407lw4ngh84oj,FORDELERSKAP
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/ck3g6gfde000b07p3ajqmg6uk,FORDELERSKAP
https://prod-5929f14.s3.eu-north-1.amazonaws.com/accounts/111/files/ck3g6gh29000507lw017s9iyi,FORDELERSKAP BADEROM
