jobID,Real,Guess,Calc,pFound,len
679,2,1.95,27.0,0.0,1
974,2,1.95,15.0,0.0,2
5879,2,1.95,1.5,0.0,2
7207,2,1.95,2.5,0.0,1
7586,2,1.95,3.5,0.0,2
14509,2,1.95,4.0,0.0,1
15011,2,1.95,2.0,0.0,3
15918,2,1.95,3.0,0.0,4
20484,2,1.95,8.0,0.0,2
24661,2,1.95,15.0,0.0,5
27516,2,1.95,2.0,0.0,3
28017,2,1.95,2.0,0.0,1
29262,2,1.95,12.0,0.0,5
36009,2,1.95,4.0,0.0,5
38127,2,1.95,5.0,0.0,16
38828,2,1.95,32.0,0.0,1
44229,2,1.95,8.0,0.0,16
44269,2,1.95,2.5,0.0,3
44723,2,1.95,16.5,0.0,4
45049,2,1.95,10.0,0.0,3
47743,2,1.95,13.0,0.0,3
176,3,1.95,2.0,0.0,1
9048,3,1.95,20.0,0.0,1
9713,3,1.95,15.0,0.0,1
15899,3,1.95,3.0,0.0,3
20943,3,1.95,10.0,0.0,1
23850,3,1.95,5.0,0.0,5
27629,3,1.95,3.0,0.0,5
29879,3,1.95,11.0,0.0,5
30540,3,1.95,2.0,0.0,1
30730,3,1.95,10.0,0.0,5
30877,3,1.95,3.0,0.0,5
30882,3,1.95,4.0,0.0,5
31003,3,1.95,4.0,0.0,5
31011,3,1.95,7.0,0.0,5
31121,3,1.95,3.5,0.0,5
33396,3,1.95,3.0,0.0,5
35722,3,1.95,3.0,0.0,6
36503,3,1.95,3.0,0.0,5
38175,3,1.95,3.0,0.0,5
39131,3,1.95,2.0,0.0,5
41108,3,1.95,10.0,0.0,3
43538,3,1.95,3.0,0.0,5
43711,3,1.95,3.0,0.0,3
44123,3,1.95,2.5,0.0,1
46699,3,1.95,4.0,0.0,2
186,4,1.95,4.0,0.0,1
3653,4,1.95,20.0,0.0,1
15442,4,1.95,11.0,0.0,1
21377,4,1.95,12.0,0.0,2
26307,4,1.95,8.0,0.0,4
26585,4,1.95,6.0,0.0,6
26705,4,1.95,5.0,0.0,3
28505,4,1.95,6.0,0.0,5
28549,4,1.95,7.0,0.0,6
28608,4,1.95,6.0,0.0,4
29389,4,1.95,5.0,0.0,6
29401,4,1.95,4.0,0.0,3
30697,4,1.95,3.0,0.0,3
30953,4,1.95,6.0,0.0,4
30962,4,1.95,4.0,0.0,5
31882,4,1.95,4.0,0.0,5
35496,4,1.95,6.0,0.0,2
36917,4,1.95,10.0,0.0,1
39618,4,1.95,6.5,0.0,7
39667,4,1.95,4.0,0.0,4
39688,4,1.95,7.0,0.0,3
40937,4,1.95,8.0,0.0,1
41920,4,1.95,3.5,0.0,2
43148,4,1.95,6.0,0.0,1
46507,4,1.95,6.5,0.0,6
47749,4,1.95,6.5,0.0,7
153,5,1.95,6.0,0.0,1
12204,5,1.95,5.0,0.0,1
14038,5,1.95,7.0,0.0,1
25789,5,1.95,4.0,0.0,7
26057,5,1.95,4.5,0.0,3
26195,5,1.95,4.0,0.0,6
26839,5,1.95,11.0,0.0,6
27322,5,1.95,5.0,0.0,8
27693,5,1.95,5.0,0.0,5
27910,5,1.95,4.0,0.0,5
27943,5,1.95,5.0,0.0,5
27985,5,1.95,6.0,0.0,6
28148,5,1.95,7.0,0.0,6
29006,5,1.95,3.0,0.0,6
29573,5,1.95,1.0,0.0,12
30340,5,1.95,6.0,0.0,3
30851,5,1.95,4.0,0.0,5
31032,5,1.95,4.0,0.0,5
33173,5,1.95,78.0,0.0,1
34749,5,1.95,5.0,0.0,4
36838,5,1.95,28.0,0.0,8
5592,6,1.95,30.0,0.0,1
17455,6,1.95,3.0,0.0,5
26165,6,1.95,11.0,0.0,7
27525,6,1.95,8.0,0.0,1
34044,6,1.95,6.0,0.0,6
36322,6,1.95,1.0,0.0,1
304,7,1.95,120.0,0.0,2
26183,7,1.95,5.0,0.0,7
27726,7,1.95,4.0,0.0,5
28075,7,1.95,15.0,0.0,1
33500,7,1.95,6.0,0.0,1
34333,7,1.95,3.0,0.0,7
34612,7,1.95,2.0,0.0,1
36620,7,1.95,5.5,0.0,1
2551,8,1.95,8.0,0.0,1
2556,8,1.95,16.0,0.0,1
9683,8,1.95,35.0,0.0,1
975,9,1.95,4.0,0.0,2
2555,9,1.95,8.0,0.0,1
6984,9,1.95,14.0,0.0,6
25892,9,1.95,6.0,0.0,5
27824,9,1.95,10.0,0.0,5
212,11,1.95,23.0,0.0,1
2441,11,1.95,6.0,0.0,1
20654,11,1.95,4.5,0.0,24
36440,12,1.95,6.0,0.0,5
48812,12,1.95,46.17,0.0,21
32420,14,1.95,40.0,0.0,8
29610,15,1.95,12.0,0.0,1
43791,15,1.95,30.0,0.0,8
136,16,1.95,36.0,0.0,2
5629,18,1.95,80.0,0.0,2
33017,18,1.95,31.0,0.0,2
36000,18,1.95,14.0,0.0,3
19467,19,1.95,16.5,0.0,1
10087,21,1.95,15.0,0.0,1
20161,22,1.95,5.0,0.0,1
29679,22,1.95,16.0,0.0,1
45141,23,1.95,50.0,0.0,1
22633,26,1.95,10.0,0.0,7
19134,28,1.95,40.0,0.0,1
41719,30,1.95,21.0,0.0,2
13303,1,1.95,1.3,0.0,1
20035,1,1.95,30.0,0.0,1
20713,1,1.95,55.5,0.0,1
