jobID,Real,Guess,Calc,pFound,len
30546,3.0,1.699,7.5,0.56,9
56254,49.5,10.333,12.0,0.37,82
56259,4.0,0.9,8.0,0.09,11
56188,4.0,0.0,1.5,0.0,2
26821,39.0,41.316,296.75,0.6,30
56336,22.0,2.266,29.0,0.42,26
56353,4.5,0.0,1.5,0.0,1
41963,135.5,5.916,28.5,0.17,48
56460,148.0,26.616,20.0,0.15,128
56479,1.0,0.0,2.0,0.0,1
56481,1.0,0.0,3.5,0.0,3
56502,10.0,0.0,6.0,0.0,4
56534,8.5,1.433,3.0,0.12,26
56553,73.0,2.016,8.0,0.11,35
56557,27.0,4.466,16.0,0.11,53
56567,30.5,5.999,12.5,0.13,31
56570,147.0,17.066,140.0,0.36,117
56625,80.5,3.966,75.0,0.03,60
44723,2.0,1.966,16.5,0.25,4
48830,38.5,1.941,16.87,0.38,24
8214,110.0,0.0,30.0,0.0,7
56706,5.5,0.916,2.0,0.14,7
56724,3.0,0.0,1.0,0.0,5
56728,90.0,9.750,68.0,0.25,116
56748,5.0,2.783,9.0,0.29,17
46255,49.5,6.173,30.0,0.31,87
56799,58.5,16.466,48.5,0.63,43
55208,24.5,2.100,12.0,0.17,18
56851,8.0,0.109,4.0,0.09,11
56858,21.0,0.516,40.0,0.05,44
45535,49.0,0.149,49.15,0.38,8
56902,3.0,0.0,10.0,0.0,11
41417,188.0,5.433,33.0,0.2,99
56937,236.0,31.916,79.0,0.36,141
42781,8.0,0.0,30.0,0.0,4
56956,1.5,0.0,4.0,0.0,3
56972,13.0,0.0,4.0,0.0,9
56979,7.5,0.0,65.0,0.0,1
56982,3.0,0.0,272.22,0.0,9
24621,43.5,39.016,51.0,0.38,92
57003,24.0,7.833,27.0,0.29,17
57010,8.5,8.766,20.0,0.67,12
36944,28.5,3.0,13.0,0.04,23
57118,8.0,0.0,9.5,0.0,8
57146,5.0,1.750,3.0,0.32,22
57150,12.5,1.466,7.0,0.1,10
33324,59.0,0.0,63.0,0.0,1
57224,8.0,0.716,6.0,0.11,9
57226,276.0,14.291,238.0,0.4,48
57250,4.5,2.033,5.0,0.75,4
57265,50.5,8.833,80.0,0.17,52
4316,64.0,72.049,115.0,0.6,10
57318,49.5,9.000,5.0,0.3,33
57345,8.0,5.116,10.0,0.48,25
48882,11.5,1.141,4.0,0.18,11
47189,91.0,22.050,57.0,0.31,67
57378,300.5,77.950,249.0,0.29,248
40933,57.5,53.416,97.0,0.26,191
39862,45.5,20.483,23.0,0.52,60
57425,12.5,0.0,28.5,0.0,6
57431,2.0,0.0,846.0,0.0,2
27570,38.0,4.966,25.21,0.26,54
57470,7.5,6.300,2.0,0.48,23
45389,18.0,9.216,44.0,0.2,25
40053,187.0,58.916,112.0,0.52,102
57501,59.0,3.333,35.0,0.08,37
57571,21.5,0.049,15.0,0.11,9
57581,11.5,9.733,14.0,0.32,28
57582,10.5,1.616,7.5,0.12,16
57588,2.5,3.516,2.5,0.29,7
57599,5.0,0.0,2.5,0.0,9
15462,23.0,0.249,48.5,0.08,24
57589,4.5,0.416,1.0,0.67,9
57665,11.5,0.546,7.0,0.47,19
57669,50.5,6.016,75.0,0.13,54
57675,5.0,0.0,5.0,0.0,1
57676,14.0,2.266,12.0,0.34,29
57691,3.0,0.266,4.0,0.38,16
57693,5.5,0.366,45.0,0.43,7
48479,8.0,3.483,6.0,0.38,21
57760,28.0,3.916,53.5,0.22,9
57762,25.0,4.866,22.5,0.22,27
39175,45.0,0.0,112.0,0.0,2
57789,32.0,7.711,30.0,0.22,100
40311,207.5,59.350,380.0,0.54,68
57812,16.5,1.883,12.5,0.11,36
57865,21.0,0.0,12.5,0.0,8
57905,4.5,0.266,7.5,1.0,1
57940,3.0,0.0,2.0,0.0,9
57949,36.0,0.0,35.0,0.0,2
57961,13.0,0.0,3.0,0.0,2
29702,30.5,13.983,25.0,0.16,83
57995,51.0,17.516,40.0,0.36,64
29472,208.5,30.783,83.15,0.47,51
58067,6.08,0.0,8.0,0.0,1
37345,175.0,59.799,45.0,0.37,101
58107,8.65,10.616,7.5,0.38,37
46826,40.0,15.366,80.0,0.38,74
22422,60.15,0.0,29.5,0.0,8
58145,26.5,1.533,35.0,0.27,33
45962,10.5,5.083,24.0,0.29,35
58192,1.0,0.0,7.5,0.0,1
58200,11.0,2.166,10.0,0.57,7
40336,246.5,20.133,176.0,0.12,161
47078,7.0,0.683,7.0,0.12,8
58307,2.0,5.416,140.56,0.53,15
48783,2.0,0.0,11.0,0.0,3
58328,10.0,3.233,6.0,0.36,25
58334,81.5,19.303,65.65,0.41,75
24459,45.0,165.808,224.0,0.4,146
47421,55.0,0.0,37.5,0.0,6
48475,22.0,0.833,55.0,0.21,14
58420,33.0,7.0,25.0,0.17,6
53978,64.0,10.633,47.0,0.42,40
58469,13.0,0.0,22.0,0.0,9
58491,31.5,8.714,40.0,0.28,104
58503,9.0,2.483,22.0,0.79,14
31122,20.0,1.173,13.8,0.14,37
58597,50.5,10.750,21.0,0.4,35
58642,10.0,2.533,10.0,0.08,12
58682,20.5,0.683,60.0,0.25,4
43704,20.5,19.683,65.0,0.69,26
48417,3.0,0.279,2.5,0.1,10
58760,55.0,0.133,27.0,0.06,33
58782,30.5,0.366,20.5,0.33,6
48157,2.0,0.0,2.0,0.0,8
58846,14.5,10.816,25.0,0.47,53
51371,17.0,0.2,10.0,0.12,8
58920,9.0,3.866,14.0,0.28,36
58992,53.0,0.483,13.5,0.07,29
58993,6.0,0.0,6.0,0.0,2
59008,68.5,9.941,29.5,0.25,84
48020,4.0,0.683,6.0,0.1,10
58241,73.5,6.016,52.0,0.19,67
51482,63.5,20.950,48.5,0.33,36
59088,2.0,0.516,2.0,0.33,3
59164,29.0,5.716,45.0,0.37,51
