jobID,Real,Guess,Calc,pFound,len
30546,3.0,15.92,7.5,0.89,9
56254,49.5,29.36,12.0,0.32,82
56259,4.0,14.08,8.0,0.18,11
56188,4.0,10.56,1.5,0.0,2
26821,39.0,179.92,296.75,0.57,30
56336,22.0,11.84,29.0,0.35,26
56353,4.5,10.56,1.5,0.0,1
41963,135.5,31.68,28.5,0.17,48
56460,148.0,144.4,20.0,0.23,128
56479,1.0,10.56,2.0,0.0,1
56481,1.0,10.56,3.5,0.0,3
56502,10.0,10.56,6.0,0.0,4
56534,8.5,12.24,3.0,0.12,26
56553,73.0,16.32,8.0,0.09,35
56557,27.0,41.12,16.0,0.3,53
56567,30.5,33.52,12.5,0.13,31
56570,147.0,56.16,140.0,0.31,117
56625,80.5,770.64,75.0,0.12,60
44723,2.0,18.56,16.5,0.25,4
48830,38.5,12.88,16.87,0.33,24
8214,110.0,10.56,30.0,0.0,7
56706,5.5,14.0,2.0,0.14,7
56724,3.0,10.56,1.0,0.0,5
56728,90.0,22.72,68.0,0.3,116
56748,5.0,20.08,9.0,0.29,17
46255,49.5,47.6,30.0,0.36,87
56799,58.5,55.28,48.5,0.51,43
55208,24.5,17.44,12.0,0.11,18
56851,8.0,12.0,4.0,0.18,11
56858,21.0,14.32,40.0,0.07,44
45535,49.0,9.92,49.15,0.25,8
56902,3.0,10.56,10.0,0.0,11
41417,188.0,16.48,33.0,0.17,99
56937,236.0,96.24,79.0,0.31,141
42781,8.0,10.56,30.0,0.0,4
56956,1.5,10.56,4.0,0.0,3
56972,13.0,10.56,4.0,0.0,9
56979,7.5,10.56,65.0,0.0,1
56982,3.0,10.56,272.22,0.0,9
24621,43.5,145.28,51.0,0.33,92
57003,24.0,40.96,27.0,0.18,17
57010,8.5,42.48,20.0,0.67,12
36944,28.5,10.56,13.0,0.0,23
57118,8.0,10.56,9.5,0.0,8
57146,5.0,11.44,3.0,0.23,22
57150,12.5,13.2,7.0,0.1,10
33324,59.0,10.56,63.0,0.0,1
57224,8.0,10.56,6.0,0.0,9
57226,276.0,65.04,238.0,0.33,48
57250,4.5,10.56,5.0,0.0,4
57265,50.5,44.88,80.0,0.1,52
4316,64.0,332.4,115.0,0.5,10
57318,49.5,40.56,5.0,0.3,33
57345,8.0,27.04,10.0,0.44,25
48882,11.5,12.16,4.0,0.09,11
47189,91.0,89.68,57.0,0.25,67
57378,300.5,260.96,249.0,0.27,248
40933,57.5,207.92,97.0,0.24,191
39862,45.5,46.16,23.0,0.48,60
57425,12.5,10.56,28.5,0.0,6
57431,2.0,10.56,846.0,0.0,2
27570,38.0,14.08,25.21,0.28,54
57470,7.5,31.68,2.0,0.35,23
45389,18.0,48.4,44.0,0.2,25
40053,187.0,183.76,112.0,0.4,102
57501,59.0,20.8,35.0,0.05,37
57571,21.5,10.32,15.0,0.11,9
57581,11.5,26.4,14.0,0.21,28
57582,10.5,13.2,7.5,0.31,16
57588,2.5,24.72,2.5,0.29,7
57599,5.0,10.56,2.5,0.0,9
15462,23.0,35.76,48.5,0.17,24
57589,4.5,9.44,1.0,0.44,9
57665,11.5,9.84,7.0,0.42,19
57669,50.5,32.24,75.0,0.13,54
57675,5.0,10.56,5.0,0.0,1
57676,14.0,13.68,12.0,0.34,29
57691,3.0,9.04,4.0,0.31,16
57693,5.5,15.76,45.0,0.57,7
48479,8.0,20.08,6.0,0.33,21
57760,28.0,14.0,53.5,0.11,9
57762,25.0,28.96,22.5,0.19,27
39175,45.0,10.56,112.0,0.0,2
57789,32.0,26.48,30.0,0.18,100
40311,207.5,226.48,380.0,0.49,68
57812,16.5,24.48,12.5,0.33,36
57865,21.0,10.56,12.5,0.0,8
57905,4.5,11.2,7.5,1.0,1
57940,3.0,10.56,2.0,0.0,9
57949,36.0,14.0,35.0,0.5,2
57961,13.0,10.56,3.0,0.0,2
29702,30.5,56.56,25.0,0.12,83
57995,51.0,63.52,40.0,0.33,64
29472,208.5,105.6,83.15,0.33,51
58067,6.08,10.56,8.0,0.0,1
37345,175.0,211.44,45.0,0.25,101
58107,8.65,38.8,7.5,0.35,37
46826,40.0,58.24,80.0,0.36,74
22422,60.15,10.56,29.5,0.0,8
58145,26.5,11.44,35.0,0.24,33
45962,10.5,24.48,24.0,0.29,35
58192,1.0,10.56,7.5,0.0,1
58200,11.0,10.56,10.0,0.0,7
40336,246.5,93.36,176.0,0.25,161
47078,7.0,10.56,7.0,0.0,8
58307,2.0,22.48,140.56,0.53,15
48783,2.0,10.56,11.0,0.0,3
58328,10.0,18.32,6.0,0.4,25
58334,81.5,48.0,65.65,0.32,75
24459,45.0,682.8,224.0,0.34,146
47421,55.0,10.56,37.5,0.0,6
48475,22.0,13.04,55.0,0.14,14
58420,33.0,46.0,25.0,0.33,6
53978,64.0,41.2,47.0,0.4,40
58469,13.0,10.56,22.0,0.0,9
58491,31.5,20.8,40.0,0.25,104
58503,9.0,14.72,22.0,0.64,14
31122,20.0,18.64,13.8,0.11,37
58597,50.5,45.12,21.0,0.34,35
58642,10.0,11.52,10.0,0.08,12
58682,20.5,13.04,60.0,0.25,4
43704,20.5,65.04,65.0,0.65,26
48417,3.0,10.72,2.5,0.1,10
58760,55.0,9.92,27.0,0.06,33
58782,30.5,10.56,20.5,0.0,6
48157,2.0,10.56,2.0,0.0,8
58846,14.5,36.32,25.0,0.42,53
51371,17.0,10.56,10.0,0.0,8
58920,9.0,13.6,14.0,0.28,36
58992,53.0,37.36,13.5,0.03,29
58993,6.0,10.56,6.0,0.0,2
59008,68.5,32.64,29.5,0.25,84
48020,4.0,13.04,6.0,0.1,10
58241,73.5,23.92,52.0,0.18,67
51482,63.5,95.52,48.5,0.25,36
59088,2.0,10.56,2.0,0.0,3
59164,29.0,12.88,45.0,0.29,51
30580,24.5,19.52,28.5,0.69,13
58938,4.0,13.04,5.0,0.5,2
46242,28.5,22.8,33.74,0.35,55
56880,1.0,11.04,34.5,0.18,11
