jobID,Real,Guess,Calc,pFound,len
30546,3.0,18.73,7.5,0.89,9
56254,49.5,73.31,12.0,0.32,82
56259,4.0,3.75,8.0,0.18,11
56188,4.0,1.64,1.5,0.0,2
26821,39.0,80.82,296.75,0.57,30
56336,22.0,20.67,29.0,0.35,26
56353,4.5,1.64,1.5,0.0,1
41963,135.5,26.2,28.5,0.17,48
56460,148.0,62.63,20.0,0.21,128
56479,1.0,1.64,2.0,0.0,1
56481,1.0,1.64,3.5,0.0,3
56502,10.0,1.64,6.0,0.0,4
56534,8.5,1.76,3.0,0.12,26
56553,73.0,73.91,8.0,0.09,35
56557,27.0,52.59,16.0,0.21,53
56567,30.5,11.22,12.5,0.13,31
56570,147.0,184.71,140.0,0.31,117
56625,80.5,0.0,75.0,0.05,60
44723,2.0,3.26,16.5,0.25,4
48830,38.5,20.7,16.87,0.33,24
8214,110.0,1.64,30.0,0.0,7
56706,5.5,4.3,2.0,0.14,7
56724,3.0,1.64,1.0,0.0,5
56728,90.0,279.35,68.0,0.3,116
56748,5.0,7.95,9.0,0.29,17
46255,49.5,59.14,30.0,0.36,87
56799,58.5,74.8,48.5,0.51,43
55208,24.5,3.24,12.0,0.11,18
56851,8.0,29.62,4.0,0.18,11
56858,21.0,4.35,40.0,0.05,44
45535,49.0,4.03,49.15,0.25,8
56902,3.0,1.64,10.0,0.0,11
41417,188.0,63.44,33.0,0.17,99
56937,236.0,137.35,79.0,0.3,141
42781,8.0,1.64,30.0,0.0,4
56956,1.5,1.64,4.0,0.0,3
56972,13.0,1.64,4.0,0.0,9
56979,7.5,1.64,65.0,0.0,1
56982,3.0,1.64,272.22,0.0,9
24621,43.5,123.18,51.0,0.33,92
57003,24.0,12.94,27.0,0.18,17
57010,8.5,32.98,20.0,0.67,12
36944,28.5,1.64,13.0,0.0,23
57118,8.0,1.64,9.5,0.0,8
57146,5.0,10.44,3.0,0.23,22
57150,12.5,2.05,7.0,0.1,10
33324,59.0,1.64,63.0,0.0,1
57224,8.0,1.64,6.0,0.0,9
57226,276.0,49.89,238.0,0.33,48
57250,4.5,1.64,5.0,0.0,4
57265,50.5,6.88,80.0,0.1,52
4316,64.0,4.56,115.0,0.4,10
57318,49.5,40.85,5.0,0.3,33
57345,8.0,31.07,10.0,0.4,25
48882,11.5,2.67,4.0,0.09,11
47189,91.0,54.36,57.0,0.24,67
57378,300.5,327.12,249.0,0.26,248
40933,57.5,142.08,97.0,0.24,191
39862,45.5,91.58,23.0,0.48,60
57425,12.5,1.64,28.5,0.0,6
57431,2.0,1.64,846.0,0.0,2
27570,38.0,28.62,25.21,0.26,54
57470,7.5,15.74,2.0,0.35,23
45389,18.0,40.36,44.0,0.2,25
40053,187.0,155.84,112.0,0.4,102
57501,59.0,1.81,35.0,0.05,37
57571,21.5,5.69,15.0,0.11,9
57581,11.5,9.61,14.0,0.18,28
57582,10.5,4.55,7.5,0.31,16
57588,2.5,5.22,2.5,0.29,7
57599,5.0,1.64,2.5,0.0,9
15462,23.0,5.69,48.5,0.17,24
57589,4.5,9.12,1.0,0.44,9
57665,11.5,15.8,7.0,0.42,19
57669,50.5,23.65,75.0,0.13,54
57675,5.0,1.64,5.0,0.0,1
57676,14.0,17.46,12.0,0.34,29
57691,3.0,11.11,4.0,0.31,16
57693,5.5,4.3,45.0,0.57,7
48479,8.0,9.71,6.0,0.33,21
57760,28.0,4.3,53.5,0.11,9
57762,25.0,19.3,22.5,0.19,27
39175,45.0,1.64,112.0,0.0,2
57789,32.0,43.05,30.0,0.18,100
40311,207.5,131.17,380.0,0.47,68
57812,16.5,15.9,12.5,0.28,36
57865,21.0,1.64,12.5,0.0,8
57905,4.5,2.17,7.5,1.0,1
57940,3.0,1.64,2.0,0.0,9
57949,36.0,4.3,35.0,0.5,2
57961,13.0,1.64,3.0,0.0,2
29702,30.5,82.82,25.0,0.12,83
57995,51.0,68.5,40.0,0.33,64
29472,208.5,42.95,83.15,0.33,51
58067,6.08,1.64,8.0,0.0,1
37345,175.0,87.05,45.0,0.24,101
58107,8.65,44.16,7.5,0.35,37
46826,40.0,76.46,80.0,0.35,74
22422,60.15,1.64,29.5,0.0,8
58145,26.5,16.21,35.0,0.24,33
45962,10.5,36.54,24.0,0.29,35
58192,1.0,1.64,7.5,0.0,1
58200,11.0,1.64,10.0,0.0,7
40336,246.5,145.85,176.0,0.25,161
47078,7.0,1.64,7.0,0.0,8
58307,2.0,22.24,140.56,0.53,15
48783,2.0,1.64,11.0,0.0,3
58328,10.0,33.45,6.0,0.4,25
58334,81.5,72.63,65.65,0.32,75
24459,45.0,297.32,224.0,0.33,146
47421,55.0,1.64,37.5,0.0,6
48475,22.0,21.52,55.0,0.14,14
58420,33.0,20.96,25.0,0.33,6
53978,64.0,41.0,47.0,0.4,40
58469,13.0,1.64,22.0,0.0,9
58491,31.5,50.67,40.0,0.25,104
58503,9.0,42.5,22.0,0.64,14
31122,20.0,13.19,13.8,0.11,37
58597,50.5,49.25,21.0,0.34,35
58642,10.0,2.66,10.0,0.08,12
58682,20.5,3.3,60.0,0.25,4
43704,20.5,66.98,65.0,0.62,26
48417,3.0,1.61,2.5,0.1,10
58760,55.0,4.03,27.0,0.06,33
58782,30.5,1.64,20.5,0.0,6
48157,2.0,1.64,2.0,0.0,8
58846,14.5,62.15,25.0,0.42,53
51371,17.0,1.64,10.0,0.0,8
58920,9.0,19.93,14.0,0.28,36
58992,53.0,2.32,13.5,0.03,29
58993,6.0,1.64,6.0,0.0,2
59008,68.5,38.63,29.5,0.25,84
48020,4.0,3.3,6.0,0.1,10
58241,73.5,25.11,52.0,0.18,67
51482,63.5,70.8,48.5,0.25,36
59088,2.0,1.64,2.0,0.0,3
59164,29.0,46.3,45.0,0.29,51
30580,24.5,29.97,28.5,0.69,13
58938,4.0,3.3,5.0,0.5,2
46242,28.5,65.79,33.74,0.35,55
56880,1.0,4.05,34.5,0.18,11
59244,33.0,13.34,10.0,0.39,18
59286,62.0,103.34,104.0,0.28,96
31157,9.0,19.1,19.0,0.26,19
48855,38.5,12.15,1.0,0.32,19
59319,2.0,7.33,6.0,0.17,6
48812,22.0,4.29,46.17,0.1,21
59392,23.0,30.58,62.0,0.67,27
59421,9.5,1.93,5.0,0.17,18
59503,30.0,52.3,27.0,0.33,40
59516,2.0,1.64,3.0,0.0,3
54005,48.0,0.0,28.5,0.2,30
59548,5.0,7.61,10.0,0.75,4
59606,8.0,17.3,23.0,0.1,31
59614,11.5,1.64,10.0,0.0,7
28064,740.5,155.97,270.0,0.19,230
59653,30.5,1.64,1.0,0.0,2
58489,16.0,63.19,75.0,0.24,59
59683,227.5,263.71,31.5,0.39,114
40876,30.5,19.81,30.5,0.2,41
59735,22.0,0.0,22.5,0.04,24
59742,9.0,1.64,13.5,0.0,9
59744,4.0,1.64,22.0,0.0,2
59750,10.5,4.7,8.5,0.11,19
44638,54.0,67.75,39.0,0.29,68
59772,11.0,17.0,73.65,0.52,21
59798,10.0,3.3,9.0,0.06,16
59799,184.0,172.11,102.0,0.25,228
59812,2.5,2.53,1.0,0.08,12
44548,271.5,88.45,134.5,0.27,70
59832,29.0,1.64,20.0,0.0,1
59859,46.8,3.26,50.0,0.09,11
43181,29.0,27.44,22.46,0.29,48
59875,66.5,1.64,1.0,0.0,17
59877,3.5,11.04,46.15,0.5,12
45083,14.5,141.83,208.0,0.29,24
59878,1.0,1.64,15.59,0.0,2
59904,28.0,72.49,30.0,0.43,42
59981,8.5,4.3,7.5,0.07,15
60055,4.0,1.64,3.0,0.0,2
47460,4.0,2.44,3.0,0.05,22
43955,37.0,27.13,19.5,0.54,26
34227,21.0,28.37,220.0,0.75,12
60201,4.0,2.53,4.0,0.5,2
47858,17.0,40.48,49.0,0.71,17
47737,4.0,3.3,25.5,0.5,4
38573,36.0,24.29,48.0,0.26,47
13434,94.5,49.56,80.65,0.3,61
55897,55.5,6.95,33.0,0.04,46
60374,7.5,6.76,8.0,0.25,16
28254,122.0,14.38,100.0,0.67,3
60383,3.0,1.64,20.0,0.0,7
60447,231.5,9.69,70.0,0.1,39
44823,41.0,44.48,25.0,0.34,41
55451,9.0,20.44,9.0,0.26,19
39068,66.5,39.72,149.3,0.55,20
60470,8.0,4.3,6.0,0.5,6
60478,29.5,70.55,53.0,0.32,74
46276,258.5,39.17,56.0,0.1,91
60569,3.5,4.35,2.0,0.33,6
45745,170.0,60.15,103.0,0.18,142
60616,8.0,5.21,8.0,0.14,14
60622,2.0,1.64,266.62,0.0,6
37417,26.5,1.64,21.0,0.0,9
60661,95.5,114.84,22.0,0.33,75
60663,2.5,5.42,15.0,0.29,7
60706,15.5,3.3,42.0,0.06,17
45349,104.5,52.03,25.0,0.18,88
60726,24.0,29.87,3.0,0.24,74
60793,8.0,4.3,45.0,0.11,9
60804,2.0,1.64,15.0,0.0,6
48645,112.5,42.96,93.0,0.5,30
46650,18.0,14.22,11.5,0.22,27
60786,125.5,162.03,42.0,0.28,132
39357,4.0,1.64,35.0,0.0,9
60936,4.0,1.64,3.0,0.0,8
45292,29.0,53.54,16.0,0.26,23
60989,7.5,3.15,30.0,0.14,14
49468,138.5,62.11,31.0,0.11,135
46286,13.0,4.82,69.5,0.4,5
16492,263.0,4.3,331.5,0.04,26
61072,3.5,1.64,2.0,0.0,2
53277,4.0,1.64,5.0,0.0,3
61093,3.0,2.71,6.0,0.2,5
47656,39.0,63.73,22.0,0.25,60
60252,29.5,32.29,15.0,0.22,37
61139,210.0,0.0,106.0,0.03,94
48987,37.5,23.5,203.8,0.57,21
50003,50.5,94.01,61.5,0.34,50
61177,6.0,2.68,3.0,0.14,7
44596,2.0,2.44,2.5,0.12,8
48371,185.5,62.27,46.0,0.2,70
45394,20.0,13.41,5.0,0.14,51
61281,12.0,27.85,6.0,0.43,28
61306,7.5,2.21,5.0,0.06,18
61325,25.0,79.4,30.0,0.34,68
46843,86.5,81.07,27.0,0.22,120
61402,47.0,36.62,114.0,0.16,83
61427,179.5,1.64,180.0,0.0,47
26268,8.5,1.64,20.5,0.0,1
26184,510.5,115.5,886.0,0.53,74
61487,53.0,7.38,94.0,0.37,43
61505,11.0,57.34,51.0,0.58,43
61509,3.5,15.99,9.5,0.67,9
61551,6.0,2.69,3.5,0.11,9
59690,16.0,17.81,39.0,0.36,14
61577,4.0,5.63,9.0,0.12,8
61622,52.5,39.29,35.0,0.28,29
61639,1.0,1.64,3.5,0.0,1
44927,6.5,1.64,7.5,0.0,9
47005,7.5,1.64,9.0,0.0,7
61723,10.0,17.3,11.04,0.42,19
61740,2.0,1.64,15.0,0.0,2
61765,11.0,3.55,34.0,0.1,20
61779,6.0,1.64,2.5,0.0,5
61840,4.0,4.1,3.0,0.67,3
46959,22.0,2.02,20.0,0.11,28
61867,105.3,95.84,158.5,0.57,23
61927,33.5,21.75,20.0,0.3,40
61961,7.5,2.37,63.0,0.04,24
47407,16.0,6.24,50.0,0.09,11
8236,3.0,26.85,94.5,0.77,13
62056,34.5,34.86,20.92,0.35,37
44768,374.0,369.41,626.5,0.25,267
62155,12.0,1.64,10.0,0.0,2
45983,6.0,3.04,17.0,0.17,6
62164,57.0,37.77,26.0,0.18,51
62200,4.5,2.36,5.0,0.1,10
61454,40.5,2.86,2.0,0.06,53
62283,30.0,37.5,80.0,0.39,46
62336,1.5,2.44,2.5,0.33,3
62349,5.0,1.64,7.5,0.0,8
62351,24.5,1.64,5.0,0.0,1
62486,9.0,38.31,165.0,0.42,36
56196,57.5,35.36,41.0,0.15,86
61613,10.0,1.64,1.5,0.0,7
62034,2.5,1.64,1.0,0.0,1
62573,14.0,1.64,6.0,0.0,12
62580,4.5,12.74,3.0,0.28,18
62655,2.5,3.3,3.0,0.5,2
62727,3.0,4.1,3.0,0.29,7
62765,7.5,1.64,20.0,0.0,2
62795,6.5,6.64,6.0,0.42,12
62810,55.0,24.56,13.5,0.2,30
62710,3.5,1.79,2.0,0.25,4
62813,19.5,4.21,7.5,0.06,32
62854,4.0,1.64,2.0,0.0,5
62873,45.0,136.39,1.0,0.56,68
62887,64.0,48.62,8.5,0.38,24
34571,54.5,42.33,69.0,0.28,36
62897,1.5,4.3,2.0,0.2,5
62976,4.0,1.64,3.0,0.0,2
61856,3.0,2.59,6.0,0.12,8
63033,14.5,32.54,18.0,0.25,4
63074,19.0,3.84,15.0,0.1,20
49129,23.0,35.05,37.5,0.19,62
63165,10.0,3.3,5.0,0.17,6
30958,41.5,109.7,48.0,0.39,98
63208,12.5,15.57,35.0,0.33,15
45432,1.5,1.64,1.5,0.0,1
63309,3.5,1.64,3.0,0.0,4
63337,39.5,75.85,54.0,0.46,35
63339,25.0,5.07,28.0,0.09,34
63392,18.0,1.64,16.0,0.0,9
63432,10.0,11.23,6.5,0.19,31
63440,4.0,1.64,4.0,0.0,5
63616,1.5,1.64,1.5,0.0,1
48272,8.0,3.37,40.0,0.2,5
61959,27.5,17.14,37.0,0.24,33
63751,32.0,17.41,32.69,0.16,55
63752,29.0,5.21,15.3,0.05,38
63757,3.0,1.64,1.5,0.0,1
