jobID,Real,Guess,Calc,pFound,len
30546,3.0,9.14,7.5,0.89,9
56254,49.5,31.46,12.0,0.32,82
56259,4.0,4.44,8.0,0.18,11
56188,4.0,0.0,1.5,0.0,2
26821,39.0,173.76,296.75,0.57,30
56336,22.0,5.66,29.0,0.35,26
56353,4.5,0.0,1.5,0.0,1
41963,135.5,25.04,28.5,0.17,48
56460,148.0,146.02,20.0,0.23,128
56479,1.0,0.0,2.0,0.0,1
56481,1.0,0.0,3.5,0.0,3
56502,10.0,0.0,6.0,0.0,4
56534,8.5,3.12,3.0,0.12,26
56553,73.0,6.84,8.0,0.09,35
56557,27.0,37.82,16.0,0.3,53
56567,30.5,24.74,12.5,0.13,31
56570,147.0,62.44,140.0,0.31,117
56625,80.5,753.08,75.0,0.12,60
44723,2.0,8.52,16.5,0.25,4
48830,38.5,6.18,16.87,0.33,24
8214,110.0,0.0,30.0,0.0,7
56706,5.5,3.96,2.0,0.14,7
56724,3.0,0.0,1.0,0.0,5
56728,90.0,28.32,68.0,0.3,116
56748,5.0,11.84,9.0,0.29,17
46255,49.5,51.52,30.0,0.36,87
56799,58.5,54.64,48.5,0.51,43
55208,24.5,7.72,12.0,0.11,18
56851,8.0,2.312,4.0,0.18,11
56858,21.0,5.26,40.0,0.07,44
45535,49.0,0.34,49.15,0.25,8
56902,3.0,0.0,10.0,0.0,11
41417,188.0,14.26,33.0,0.17,99
56937,236.0,105.96,79.0,0.31,141
42781,8.0,0.0,30.0,0.0,4
56956,1.5,0.0,4.0,0.0,3
56972,13.0,0.0,4.0,0.0,9
56979,7.5,0.0,65.0,0.0,1
56982,3.0,0.0,272.22,0.0,9
24621,43.5,146.86,51.0,0.33,92
57003,24.0,31.22,27.0,0.18,17
57010,8.5,35.24,20.0,0.67,12
36944,28.5,0.0,13.0,0.0,23
57118,8.0,0.0,9.5,0.0,8
57146,5.0,3.28,3.0,0.23,22
57150,12.5,3.12,7.0,0.1,10
33324,59.0,0.0,63.0,0.0,1
57224,8.0,0.0,6.0,0.0,9
57226,276.0,61.44,238.0,0.33,48
57250,4.5,0.0,5.0,0.0,4
57265,50.5,36.62,80.0,0.1,52
4316,64.0,302.34,115.0,0.5,10
57318,49.5,34.38,5.0,0.3,33
57345,8.0,21.66,10.0,0.44,25
48882,11.5,2.05,4.0,0.09,11
47189,91.0,86.74,57.0,0.25,67
57378,300.5,278.78,249.0,0.27,248
40933,57.5,212.26,97.0,0.24,191
39862,45.5,48.92,23.0,0.48,60
57425,12.5,0.0,28.5,0.0,6
57431,2.0,0.0,846.0,0.0,2
27570,38.0,10.92,25.21,0.28,54
57470,7.5,,2.0,0.39,23
45389,18.0,39.86,44.0,0.2,25
40053,187.0,,112.0,0.41,102
57501,59.0,11.08,35.0,0.05,37
57571,21.5,0.21,15.0,0.11,9
57581,11.5,18.78,14.0,0.21,28
57582,10.5,5.04,7.5,0.31,16
57588,2.5,15.18,2.5,0.29,7
57599,5.0,0.0,2.5,0.0,9
15462,23.0,26.48,48.5,0.17,24
57589,4.5,0.88,1.0,0.44,9
57665,11.5,3.244,7.0,0.42,19
57669,50.5,24.72,75.0,0.13,54
57675,5.0,0.0,5.0,0.0,1
57676,14.0,7.94,12.0,0.34,29
57691,3.0,0.94,4.0,0.31,16
57693,5.5,6.84,45.0,0.57,7
48479,8.0,12.68,6.0,0.33,21
57760,28.0,3.96,53.5,0.11,9
57762,25.0,20.9,22.5,0.19,27
39175,45.0,0.0,112.0,0.0,2
57789,32.0,24.726,30.0,0.18,100
40311,207.5,,380.0,0.5,68
57812,16.5,19.52,12.5,0.33,36
57865,21.0,0.0,12.5,0.0,8
57905,4.5,1.12,7.5,1.0,1
57940,3.0,0.0,2.0,0.0,9
57949,36.0,3.96,35.0,0.5,2
57961,13.0,0.0,3.0,0.0,2
29702,30.5,49.4,25.0,0.12,83
57995,51.0,62.16,40.0,0.33,64
29472,208.5,99.34,83.15,0.33,51
58067,6.08,0.0,8.0,0.0,1
37345,175.0,204.24,45.0,0.25,101
58107,8.65,34.04,7.5,0.35,37
46826,40.0,59.96,80.0,0.36,74
22422,60.15,0.0,29.5,0.0,8
58145,26.5,4.84,35.0,0.24,33
45962,10.5,18.52,24.0,0.29,35
58192,1.0,0.0,7.5,0.0,1
58200,11.0,0.0,10.0,0.0,7
40336,246.5,101.48,176.0,0.25,161
47078,7.0,0.0,7.0,0.0,8
58307,2.0,15.3,140.56,0.53,15
48783,2.0,0.0,11.0,0.0,3
58328,10.0,12.44,6.0,0.4,25
58334,81.5,48.924,65.65,0.32,75
24459,45.0,659.96,224.0,0.34,146
47421,55.0,0.0,37.5,0.0,6
48475,22.0,3.36,55.0,0.14,14
58420,33.0,35.7,25.0,0.33,6
53978,64.0,38.08,47.0,0.4,40
58469,13.0,0.0,22.0,0.0,9
58491,31.5,22.952,40.0,0.25,104
58503,9.0,8.52,22.0,0.64,14
31122,20.0,10.092,13.8,0.11,37
58597,50.5,39.76,21.0,0.34,35
58642,10.0,1.44,10.0,0.08,12
58682,20.5,2.96,60.0,0.25,4
43704,20.5,,65.0,0.69,26
48417,3.0,0.624,2.5,0.1,10
58760,55.0,0.34,27.0,0.06,33
58782,30.5,0.0,20.5,0.0,6
48157,2.0,0.0,2.0,0.0,8
58846,14.5,36.12,25.0,0.42,53
51371,17.0,0.0,10.0,0.0,8
58920,9.0,7.84,14.0,0.28,36
58992,53.0,27.06,13.5,0.03,29
58993,6.0,0.0,6.0,0.0,2
59008,68.5,32.16,29.5,0.25,84
48020,4.0,2.96,6.0,0.1,10
58241,73.5,19.14,52.0,0.18,67
51482,63.5,87.8,48.5,0.25,36
59088,2.0,0.0,2.0,0.0,3
59164,29.0,9.7,45.0,0.29,51
30580,24.5,13.08,28.5,0.69,13
58938,4.0,2.96,5.0,0.5,2
46242,28.5,21.464,33.74,0.35,55
56880,1.0,1.42,34.5,0.18,11
59244,33.0,3.04,10.0,0.39,18
59286,62.0,36.26,104.0,0.3,96
31157,9.0,20.62,19.0,0.26,19
48855,38.5,4.06,1.0,0.32,19
59319,2.0,29.84,6.0,0.33,6
48812,22.0,5.36,46.17,0.1,21
59392,23.0,50.8,62.0,0.67,27
59421,9.5,12.34,5.0,0.22,18
59503,30.0,30.62,27.0,0.33,40
59516,2.0,0.0,3.0,0.0,3
54005,48.0,50.76,28.5,0.2,30
59548,5.0,1.64,10.0,0.75,4
59606,8.0,3.92,23.0,0.1,31
59614,11.5,0.0,10.0,0.0,7
28064,740.5,259.344,270.0,0.23,230
59653,30.5,0.0,1.0,0.0,2
58489,16.0,149.44,75.0,0.24,59
59683,227.5,216.88,31.5,0.39,114
40876,30.5,14.02,30.5,0.2,41
59735,22.0,41.88,22.5,0.08,24
59742,9.0,0.0,13.5,0.0,9
59744,4.0,0.0,22.0,0.0,2
59750,10.5,13.064,8.5,0.11,19
44638,54.0,45.83,39.0,0.31,68
59772,11.0,18.624,73.65,0.52,21
59798,10.0,2.96,9.0,0.06,16
59799,184.0,140.02,102.0,0.25,228
59812,2.5,0.34,1.0,0.08,12
44548,271.5,109.44,134.5,0.27,70
59832,29.0,0.0,20.0,0.0,1
59859,46.8,8.52,50.0,0.09,11
43181,29.0,10.56,22.46,0.29,48
59875,66.5,0.0,1.0,0.0,17
59877,3.5,3.08,46.15,0.5,12
45083,14.5,477.0,208.0,0.29,24
59878,1.0,0.0,15.59,0.0,2
59904,28.0,30.74,30.0,0.43,42
59981,8.5,3.96,7.5,0.07,15
60055,4.0,0.0,3.0,0.0,2
47460,4.0,1.62,3.0,0.05,22
43955,37.0,6.49,19.5,0.54,26
34227,21.0,9.26,220.0,0.75,12
60201,4.0,0.34,4.0,0.5,2
47858,17.0,13.68,49.0,0.71,17
